Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays
"January, 2013",15.8,5.7,26.0,1.42,"1,394",
"December, 2012",24.4,16.6,32.2,5.11,"1,149",
"November, 2012",32.7,24.5,41.0,1.29,885,
"October, 2012",48.2,39.3,57.0,6.69,459,
"September, 2012",55.9,44.5,67.3,4.91,226,
"August, 2012",67.4,56.6,78.2,4.29,21,136
"July, 2012",67.6,56.0,79.2,1.89,15,142
"June, 2012",60.2,49.8,70.7,7.58,133,11
"May, 2012",53.8,43.4,64.2,4.68,310,
"April, 2012",42.2,31.1,53.4,4.14,613,
"March, 2012",34.3,23.5,45.1,1.94,857,
"February, 2012",21.4,11.3,31.6,1.76,"1,106",
"January, 2012",18.2,8.9,27.4,3.10,"1,314",
"December, 2011",26.0,17.0,35.0,3.49,"1,101",
"November, 2011",38.8,29.0,48.5,2.49,723,
"October, 2011",47.6,39.7,55.5,4.97,479,
"September, 2011",59.0,48.6,69.2,3.89,145,15
"August, 2011",64.8,55.0,74.8,7.44,48,85
"July, 2011",67.6,56.0,79.1,3.69,14,149
"June, 2011",60.2,49.5,71.0,4.06,131,12
"May, 2011",51.9,42.6,61.1,5.49,363,
"April, 2011",39.0,28.9,49.0,4.75,689,
"March, 2011",26.8,16.6,37.0,4.93,"1,077",
"February, 2011",16.2,5.5,26.8,2.95,"1,270",
"January, 2011",15.9,7.2,24.6,1.89,"1,431",
"December, 2010",23.4,16.3,30.5,6.31,"1,199",
"November, 2010",34.5,26.7,42.3,5.20,831,
"October, 2010",45.2,36.5,53.8,5.93,539,
"September, 2010",58.3,49.2,67.5,5.37,152,13
"August, 2010",65.2,53.4,77.0,2.33,39,98
"July, 2010",69.2,58.9,79.6,2.87,9,173
"June, 2010",60.8,50.1,71.4,5.54,105,18
"May, 2010",54.6,41.7,67.4,2.09,276,3
"April, 2010",44.9,34.0,55.8,2.82,541,
"March, 2010",34.6,24.7,44.4,5.11,852,
"February, 2010",24.6,18.5,30.6,2.67,"1,054",
"January, 2010",20.3,12.4,28.2,3.07,"1,302",
"December, 2009",21.9,14.7,29.2,4.31,"1,230",
"November, 2009",38.5,29.7,47.4,4.77,724,
"October, 2009",41.2,33.7,48.8,5.53,659,
"September, 2009",54.9,42.5,67.2,1.75,254,
"August, 2009",66.1,55.4,76.8,3.98,30,113
