Place,2020 Total Population,2010 Total Population,Percent Change
Whitney UT,6,5,20%
Winn town,399,407,-2%
Woodville town,201,248,-19%
Abbot town,650,714,-9%
Beaver Cove town,133,122,9%
Blanchard UT,91,98,-7%
Bowerbank town,136,116,17%
Brownville town,1139,1250,-9%
Dover-Foxcroft town,4422,4213,5%
Greenville town,1437,1646,-13%
Guilford town,1267,1521,-17%
Kingsbury plantation,28,28,0%
Lake View plantation,150,89,69%
Medford town,230,254,-9%
Milo town,2251,2340,-4%
Monson town,609,686,-11%
Northeast Piscataquis UT,304,273,11%
Northwest Piscataquis UT,134,147,-9%
Parkman town,747,843,-11%
Sangerville town,1306,1343,-3%
Sebec town,665,630,6%
Shirley town,251,233,8%
Southeast Piscataquis UT,487,253,92%
Wellington town,229,260,-12%
Willimantic town,134,150,-11%
Arrowsic town,477,427,12%
Bath city,8766,8514,3%
Bowdoin town,3136,3061,2%
Bowdoinham town,3047,2889,5%
Georgetown town,1058,1042,2%
Perkins UT,0,0,#DIV/0!
Phippsburg town,2155,2216,-3%
Richmond town,3522,3411,3%
Topsham town,9560,8784,9%
West Bath town,1910,1877,2%
Woolwich town,3068,3072,0%
Anson town,2291,2511,-9%
Athens town,952,1019,-7%
Bingham town,866,922,-6%
Brighton plantation,62,70,-11%
Cambridge town,443,462,-4%
Canaan town,2193,2275,-4%
Caratunk town,81,69,17%
Central Somerset UT,336,338,-1%
Cornville town,1317,1314,0%
Dennistown plantation,61,33,85%
Detroit town,885,852,4%
Embden town,902,939,-4%
Fairfield town,6484,6735,-4%
Harmony town,825,939,-12%
Hartland town,1705,1782,-4%
Highland plantation,52,73,-29%
Jackman town,782,862,-9%
Madison town,4726,4855,-3%
Mercer town,709,664,7%
Moose River town,188,218,-14%
Moscow town,475,512,-7%
New Portland town,765,718,7%
Norridgewock town,3278,3367,-3%
Northeast Somerset UT,367,390,-6%
Northwest Somerset UT,41,62,-34%
Palmyra town,1924,1986,-3%
Pittsfield town,3908,4215,-7%
Pleasant Ridge plantation,85,93,-9%
Ripley town,484,488,-1%
St. Albans town,2045,2005,2%
Seboomook Lake UT,23,48,-52%
Skowhegan town,8620,8589,0%
Smithfield town,925,1033,-10%
Solon town,978,1053,-7%
Starks town,593,640,-7%
The Forks plantation,48,37,30%
West Forks plantation,58,60,-3%
Belfast city,6938,6668,4%
Belmont town,976,942,4%
Brooks town,1010,1078,-6%
Burnham town,1096,1164,-6%
Frankfort town,1231,1124,10%
Freedom town,711,719,-1%
Islesboro town,583,566,3%
Jackson town,610,548,11%
Knox town,811,806,1%
Liberty town,934,913,2%
Lincolnville town,2312,2164,7%
Monroe town,931,890,5%
Montville town,1020,1032,-1%
Morrill town,971,884,10%
Northport town,1550,1520,2%
Palermo town,1570,1535,2%
Prospect town,698,709,-2%
Searsmont town,1400,1392,1%
Searsport town,2649,2615,1%
Stockton Springs town,1533,1591,-4%
Swanville town,1377,1388,-1%
Thorndike town,774,890,-13%
Troy town,1018,1030,-1%
Unity town,2292,2099,9%
Waldo town,795,762,4%
Winterport town,3817,3757,2%
Addison town,1148,1266,-9%
Alexander town,525,499,5%
Baileyville town,1318,1521,-13%
Baring plantation,201,251,-20%
Beals town,443,508,-13%
Beddington town,60,50,20%
Calais city,3079,3123,-1%
Charlotte town,337,332,2%
Cherryfield town,1107,1232,-10%
Codyville plantation,13,24,-46%
Columbia town,435,486,-10%
Columbia Falls town,476,560,-15%
Cooper town,168,154,9%
Crawford town,93,105,-11%
Cutler town,524,507,3%
Danforth town,587,589,0%
Deblois town,74,57,30%
Dennysville town,300,342,-12%
East Central Washington UT,724,728,-1%
East Machias town,1326,1368,-3%
Eastport city,1288,1331,-3%
Grand Lake Stream plantation,125,109,15%
Harrington town,962,1004,-4%
Jonesboro town,579,583,-1%
Jonesport town,1245,1370,-9%
Lubec town,1237,1359,-9%
Machias town,2060,2221,-7%
Machiasport town,962,1119,-14%
Marshfield town,528,518,2%
Meddybemps town,139,157,-11%
Milbridge town,1375,1353,2%
Northfield town,178,148,20%
North Washington UT,505,499,1%
Passamaquoddy Indian Township Reservation,760,718,6%
Passamaquoddy Pleasant Point Reservation,692,749,-8%
Pembroke town,788,840,-6%
Perry town,802,889,-10%
Princeton town,745,832,-10%
Robbinston town,539,574,-6%
Roque Bluffs town,296,303,-2%
Steuben town,1129,1131,0%
Talmadge town,70,64,9%
Topsfield town,179,237,-24%
Vanceboro town,102,140,-27%
Waite town,66,101,-35%
Wesley town,122,98,24%
Whiting town,482,487,-1%
Whitneyville town,202,220,-8%
Acton town,2671,2447,9%
Alfred town,3073,3019,2%
Arundel town,4264,4022,6%
Berwick town,7950,7246,10%
Biddeford city,22552,21277,6%
Buxton town,8376,8034,4%
Cornish town,1508,1403,7%
Dayton town,2129,1965,8%
Eliot town,6717,6204,8%
Hollis town,4745,4281,11%
Kennebunk town,11536,10798,7%
Kennebunkport town,3629,3474,4%
Kittery town,10070,9490,6%
Lebanon town,6469,6031,7%
Limerick town,3188,2892,10%
Limington town,3892,3713,5%
Lyman town,4525,4344,4%
Newfield town,1648,1522,8%
North Berwick town,4978,4576,9%
Ogunquit town,1577,892,77%
Old Orchard Beach town,8960,8624,4%
Parsonsfield town,1791,1898,-6%
Saco city,20381,18482,10%
Sanford city,21982,20798,6%
Shapleigh town,2921,2668,9%
South Berwick town,7467,7220,3%
Waterboro town,7936,7693,3%
Wells town,11314,9589,18%
York town,13723,12529,10%
